NYSE American Stock Exchange,,,,,,,,,,,,,,
"Friday, May 18, 2018 5:32 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Consolidated-Tomoka Land,CTO,62.13,62.14,60.8,61.7,-0.38,-0.61,"10,179",67.97,51.02,0.24,0.39,8.62,-2.83
Contango Oil&Gas,MCF,4.52,4.65,4.36,4.45,-0.05,-1.11,"363,898",7.43,2.22,0,0,0,-5.52
Continental Materials,CUO,17,17,17,17,0,0,241,24.6,16.55,0,0,0,-10.53
Core Molding Technologies,CMT,14.18,14.26,13.98,14.14,0.18,1.29,"23,288",24.5,13.53,0.2,1.41,25.25,-34.84
CPI Aerostructures,CVU,10.2,10.3,10.15,10.3,0.1,0.98,"16,435",10.8,6.85,0,0,15.85,15.08
CRH Medical,CRHM,3.55,3.65,3.5,3.5,-0.05,-1.41,"40,464",6.22,1.46,0,0,40.28,32.08
CynergisTek,CTEK,4.14,4.25,4.05,4.21,0.07,1.69,"32,419",5.45,2.7,0,0,0,3.95
Daxor,DXR,7.08,7.2,7,7.06,-0.04,-0.61,"9,378",21.66,3.4,0.03,0.43,0,54.32
Delta Apparel,DLA,18.92,19.2,18.5,18.77,-0.03,-0.16,"36,493",23.47,16.9,0,0,0,-7.08
Document Security Systems,DSS,1.38,1.58,1.34,1.5,0.13,9.49,"356,642",3.16,0.56,0,0,0,-16.67
Dunxin Financial Holdings ADR,DXF,5.71,5.71,5.71,5.71,-0.05,-0.87,225,7.1,3.3,0,0,0,10.02
Electromed,ELMD,5.15,5.16,5.1,5.1,-0.05,-0.97,"1,331",7.96,4.12,0,0,25.5,-15.98
eMagin,EMAN,1.55,1.6,1.5,1.6,0.05,3.23,"40,219",3,1.23,0,0,0,-3.03
Emerson Radio,MSN,1.49,1.49,1.49,1.49,-0.01,-0.33,397,1.89,1.07,0,0,0,2.06
EnviroStar,EVI,39.95,40,38.33,39.8,-0.05,-0.13,"11,468",43.1,18.9,0,0,128.39,-0.5
Espey Manufacturing&Electronics,ESP,28.36,29,28.36,29,0.3,1.05,"2,270",29.97,21.07,1,3.45,26.36,21.02
Evans Bancorp,EVBN,47.3,47.98,46.05,46.95,0.05,0.11,"12,899",47.98,37.8,0.92,1.96,21.54,12.05
Evolution Petroleum,EPM,9.4,9.43,9.15,9.15,-0.25,-2.66,"254,074",9.5,6.35,0.4,4.37,18.3,33.58
Flanigan's Enterprises,BDL,27,27,26.95,26.95,-0.3,-1.11,"1,955",30.95,20.2,0.25,0.93,15.13,14.21
Flexible Solutions International,FSI,1.63,1.65,1.61,1.61,-0.03,-1.83,"2,264",2.58,1.33,0,0,0,-11.54
Franklin Street Properties,FSP,7.52,7.63,7.39,7.6,0.16,2.15,"1,644,502",11.93,7.08,0.36,4.74,0,-29.24
Friedman Industries,FRD,5.85,6.19,5.77,6.19,0,0,"4,981",6.79,5.05,0.08,1.29,309.5,8.98
FTE Networks,FTNW,15.5,17.5,15.46,17,2.25,15.25,"27,327",26.25,5.9,0,0,0,71.37
GEE Group,JOB,2.44,2.86,2.44,2.62,0.13,5.22,"17,114",5.94,2,0,0,0,-5.76
GlobalSCAPE,GSB,3.62,3.75,3.62,3.75,0.09,2.46,"19,905",5.51,3.27,0.06,1.6,0,5.63
Goldfield,GV,4.4,4.5,4.4,4.5,0.1,2.27,"45,060",6.38,3.6,0,0,14.52,-8.16
Gold Resource,GORO,5.86,5.95,5.77,5.88,0.03,0.51,"803,986",5.95,3.37,0.02,0.34,65.12,33.64
Gold Standard Ventures,GSV,1.5,1.56,1.47,1.54,0.03,1.99,"240,709",2.07,1.25,0,0,0,-12
Goodrich Petroleum,GDP,14.19,14.19,13.3,13.5,-0.86,-5.99,"52,176",15.75,8.2,0,0,0,23.74
Gran Tierra Energy,GTE,3.41,3.43,3.38,3.41,0,0,"744,552",3.48,1.93,0,0,0,26.3
Great Panther Silver,GPL,1.21,1.26,1.21,1.23,0.01,0.82,"207,051",1.46,1.06,0,0,0,-4.65
Grupo Simec ADR,SIM,9.67,9.67,9.5,9.52,-0.33,-3.35,"3,281",11.74,8.97,0,0,20.83,1.82
Gulfmark Offshore,GLF,34.25,34.25,33.11,33.68,-0.34,-1,"19,705",36.28,0.13,0,0,0,18.22
Hennessy Capital Acquisition III,HCAC,10.4,11,9.99,10.11,0.14,1.4,"19,317",11,8.97,0,0,292.2,3.16
HMG/Courtland Properties,HMG,13,13.95,12.99,13.82,-0.18,-1.26,"6,395",18.6,10.34,0,0,0,-4.33
IEC Electronics,IEC,5.29,5.35,5.2,5.3,0.05,0.95,"18,851",5.49,3.35,0,0,21.2,28.64
